"Name","House","Card Number","Raw Amber","Power","Armor","Anomaly","Reprint","Text","Aerc Score","Amber Control","Expected Amber","Aember Protection","Artifact Control","Creature Control","Effective Power","Efficiency","Disruption","House Cheating","Other"
"Twin Bolt Emission","Logos","142","1","","","","true","Play: Deal 2 damage to a creature and deal 2 damage to a different creature.","0","0","0","0","0","0","0","0","0","0","0"
"Wild Wormhole","Logos","143","1","","","","true","Play: Play the top card of your deck.","0","0","0","0","0","0","0","0","0","0","0"
"Wormhole Technician","Logos","144","0","3","","","","Reap: Reveal the top card of your deck. If it is a Logos card, play it. Otherwise archive it.","1.7","0","0","0","0","0","3","1","0","0","0"
"Anomaly Exploiter","Logos","145","0","","","","true","Action: Destroy a damaged creature.","0","0","0","0","0","0","0","0","0","0","0"
"C.AE.N.D.L.E. Unit","Logos","146","0","5","1","","","After an enemy creature reaps, draw a card.

Action: Capture 1 aember.","3.5","0.5","0","0","0","0","6","2","0","0","0"
"Code Monkey","Logos","147","0","3","","","","Deploy.

Play: Archive each neighboring creature. If those creatures share a house, gain 2 aember.","2.1999999999999997","0","1","0","0","0","3","0.5","0","0","0"
"Data Forge","Logos","148","1","","","","","Play: You may forge a key at +10 current cost, reduced by 1 aember for each card in hand.","2","0","1","1","0","0","0","0","0","0","0"
"Discombobulator","Logos","149","1","","","","","This creature gains, ""Your aember cannot be stolen.""","2","0","1","1","0","0","0","0","0","0","0"
"Dr. Milli","Logos","150","0","2","","","","Play: For each creature your opponent controls in excess of you, not counting Dr. Milli, archive a card.","2.6","0","0","0","0","0","2","2","0","0","0"
"Groupthink Tank","Logos","151","0","4","3","","","Action: Deal 4 damage to each creature that shares a house with at least 1 of its neighbors.","2.0999999999999996","0","0","0","0","1","7","0","0","0","0"
"Interdimensional Graft","Logos","152","1","","","","true","Play: If an opponent forges a key on their next turn, they must give you 
​their remaining aember.","0","0","0","0","0","0","0","0","0","0","0"
"Jargogle","Logos","153","0","2","0","","true","Play: Put a card from your hand facedown under Jargogle.
​Destroyed: If it is your turn, play the card
​under Jargogle; otherwise, archive that card.","0.4","0","0","0","0","0","0","0","0","0","0"
"Memory Chip","Logos","154","0","","","","true","After you choose Logos as your active house, archive a card.","0","0","0","0","0","0","0","0","0","0","0"
"Mini Groupthink Tank","Logos","155","0","3","2","","","Play/Fight/Reap: Deal 8 damage to a creature that shares a house with 2 of its neighbors.","1.4","0","0","0","0","0.5","5","0","0","0","0"
"Positron Bolt","Logos","156","1","","","","true","Play: Deal 3 damage to a flank creature. Deal 2 damage to its neighbor. Deal 1 damage to the 
​second creature's other neighbor.","0","0","0","0","0","0","0","0","0","0","0"
"Quantum Fingertrap","Logos","157","1","","","","true","Action: Swap the positions of two creatures in a battleline.","0","0","0","0","0","0","0","0","0","0","0"
"Reasembling Automaton","Logos","158","0","3","","","","Destroyed: If you have any other creatures in play, instead of destroying Reassembling Automaton, fully heal it, exhaust it, then move it to a flank.","1.2000000000000002","0","0","0","0","0","8","0","0","0","0"
"Remote Access","Logos","159","1","","","","true","Play: Use an opponent's artifact as if it were yours.","0","0","0","0","0","0","0","0","0","0","0"
"Seismo-Entangler","Logos","160","0","","","","true","Action: Choose a house. During your opponent's next turn, creatures of the
​chosen house cannot be used to reap.","0","0","0","0","0","0","0","0","0","0","0"
"Academy Training","Logos","161","0","","","","","If you control this creature, it belongs to house Logos. 

This creature gains, ""Reap: Draw a card.""","0.75","0","0","0","0","0","0","0.5","0","0.25","0"
"Chaos Portal","Logos","162","0","","","","true","Action: Choose a house. Reveal the top card of your deck. If it is of that house, play it.","0","0","0","0","0","0","0","0","0","0","0"
"Crazy Killing Machine","Logos","163","0","","","","true","Action: Discard the top card of each player's deck. For each of those cards,
​destroy a creature or artifact of that
​card's house, if able. If 2 cards are not 
​destroyed as a result of this, destroy
​Crazy Killing Machine.","0","0","0","0","0","0","0","0","0","0","0"
"Dysania","Logos","164","0","4","0","","true","Play: Your opponent discards each of their archived cards. You gain 1 aember for
​each card discarded this way.","0.4","0","0","0","0","0","0","0","0","0","0"
"Entropic Swirl","Logos","165","0","","","","true","Play: Choose a creature. For each trait that creature has, deal it 2 damage and
​gain 1 aember.","0","0","0","0","0","0","0","0","0","0","0"
"Fetchdrones","Logos","166","0","","","","true","Action: Discard the top 2 cards of your deck. For each Logos card 
​discarded this way, a friendly creature
​captures 2 aember.","0","0","0","0","0","0","0","0","0","0","0"
"Hyde","Logos","167","0","4","","","","Reap: Draw a card. If you control Velum, draw 2 cards instead.

Destroyed: Archive Velum from your discard pile. If you do, archive Hyde.","2.3","0","0","0","0","0","4","1.5","0","0","0"
"Knowledge is Power","Logos","168","0","","","","true","Play: Choose one: Archive a card, or, for each archived card you have, gain 1 aember.","0","0","0","0","0","0","0","0","0","0","0"
"Master the Theory","Logos","169","1","","","","true","Play: If there are no friendly creatures in play, you may archive a card for each
​enemy creature.","0","0","0","0","0","0","0","0","0","0","0"
